text,label
i am stuck here please,1
hey i am studying now,0
madad karo,1
he is forcing me,1
someone is chasing me please,1
mi safe ahe,0
hey koni majhya var halla kart ahe,1
im talking to my friend,0
mai bus mi hu,0
i am going to sleep,0
they are attacking me,1
mai safe nahi hu,1
i am watching a movie help,0
i am safe,0
i am going to college,0
im coming home,0
someone is following me,1
i am stuck here please,1
this is emirgency help mi,1
sagle barobar ahe,0
this is emergency help me,1
mai safe hu please,0
mai akeli hu aur dar rahi hu,1
mi safe nahi ahe please,1
sagle barobar ahe,0
they are attacking me please,1
hey i am trapped,1
hey mai bus me hu,0
koi muje dhakka de raha hai,1
they are attacking me help,1
mi thik ahe,0
they are attacking me,1
everything is okay,0
i am not safe here,1
mai market mi hu,0
i am at home,0
i cannot escape help,1
mujhe nuksan pahucha rahe hai,1
hey i am in danger,1
mi ekaṭi ahe ani ghabarleli ahe,1
mai market me hu,0
i am working on my project help,0
mai normal feel kar raha hu help,0
everything is okay,0
i am in danger,1
i am not safe here,1
mi study karat ahe,0
sagle barobar ahe please,0
everything is okay please,0
mai safe nahi hu,1
sab theek hai please,0
they are trying to hurt me,1
muje bachao,1
koni majhya var halla kart ahe,1
i feel unsafe please,1
mai ghar par hu,0
mai bus me hu help,0
mai theek hu,0
this is emergency help me help,1
mujhe dhamki di ja rahi hai,1
mi ghari ahe,0
mai ghar par hu help,0
mi thik ahe,0
mi thik ahe please,0
i am in danger,1
they are attacking me,1
call police,1
i am stuck here,1
i cannot escape,1
mi ekaṭi ahe ani ghabarleli ahe help,1
mai akeli hu aur dar rahi hu please,1
mujhe madad chahiye help,1
koi problem nahi hai,0
i am feeling relaxed,0
someone is following me,1
please help help,1
this is emirgency help mi,1
mi college la jat ahe,0
mai ghar par hu,0
mai laptop use kar raha hu,0
mi bus madhe ahe,0
mai akeli hu aur dar rahi hu help,1
hey koi mujhe dhakka de raha hai,1
i am watching a movie help,0
hey mai safe nahi hu,1
mujhe bachao,1
hey i need help urgently,1
mujhe dar lag raha hai,1
i am scared help,1
i am fine,0
mi ghari ahe,0
jaldi aao please help,1
hey sagle barobar ahe,0
please help,1
i am going to college,0
mujhe dar lag raha hai help,1
mai ghar par hu,0
please come fast please,1
i am studying now,0
mi mitra sobat bolat ahe,0
mai market me hu,0
i am feeling relaxed please,0
i am feeling relaxed please,0
i am in class,0
mi faslo ahe help,1
they are trying to hurt me,1
mujhe dar lag raha hai,1
mi ghari ahe,0
i am scared help,1
mi thik ahe,0
mi faslo ahe help,1
i am listening to music,0
please come fast,1
i am reading a book,0
mai ghar par hu,0
mai ghar par hu,0
muje dhamki di ja rahi hai,1
i am reading a book,0
hey mala bhiti vatate,1
im in class,0
mai theek hu help,0
mai safe hu,0
mala vachva please,1
mi safe ahe,0
mujhe dar lag raha hai please,1
sab theek hai help,0
mi ghari ahe,0
mai market me hu,0
mi ekaṭi ahe ani ghabarleli ahe,1
i am in trouble,1
hey koi mujhe pakad raha hai,1
mi thik ahe,0
i feel unsafe,1
i am fine,0
i am in trouble,1
hey they are attacking me,1
hey mala madat kara,1
i am having lunch,0
lavkar ya please,1
i am listening to music please,0
pls come fast,1
hey mi college la jat ahe,0
i am stuck here,1
koi mujhe pakad raha hai,1
mi ekaṭi ahe ani ghabarleli ahe,1
hey they are attacking me,1
i feel unsafe,1
i am fine help,0
jaldi aao please,1
someone is following me please,1
i am working on my project,0
he is forcing me,1
i am trapped,1
mi faslo ahe,1
madad kro,1
i am going to college help,0
pls come fast,1
mala bhiti vatate,1
mai safe hu,0
i am reading a book,0
sagle barobar ahe please,0
im at home,0
mujhe bachao,1
mai normal feel kar raha hu,0
i am in trouble,1
mai fasa hua hu,1
call police please,1
hey mujhe madad chahiye,1
i am talking to my friend help,0
hey mi study karat ahe,0
i am in trouble,1
mi college la jat ahe,0
i am feeling relaxed,0
mai fasa hua hu,1
mi ghari ahe,0
mai bus me hu,0
mai normal feel kar raha hu,0
i am going to sleep,0
i need help urgently,1
mujhe madad chahiye,1
koi mujhe dhakka de raha hai,1
i am talking to my friend,0
madad karo,1
mujhe bachao,1
jaldi aao please help,1
mujhe dar lag raha hai please,1
hey koni majhya var halla kart ahe,1
they are attacking me,1
i am reading a book,0
hey this is emergency help me,1
mujhe nuksan pahucha rahe hai please,1
mi bus madhe ahe,0
mi faslo ahe,1
mala vachva please,1
mala madat kara please,1
they are attacking me,1
hey mujhe dhamki di ja rahi hai,1
i am studying now,0
hey someone is chasing me,1
i am trapped,1
call police please,1
koi problem nahi hai,0
sab theek hai,0
